Legislatura,Nombre,Alta,Baja,Cargo
XI,Carme Forcadell i Lluís,26/10/2015,28/10/2017,La presidenta
XI,Lluís Corominas i Diaz,26/10/2015,25/07/2017,El vicepresident primer
XI,Lluís Guinó i Subirós,25/07/2017,28/10/2017,El vicepresident primer
XI,José María Espejo Saavedra Conesa,26/10/2015,28/10/2017,El vicepresident segon
XI,Anna Simó i Castelló,26/10/2015,28/10/2017,La secretària primera
XI,David Pérez Ibáñez,26/10/2015,28/10/2017,El secretari segon
XI,Joan Josep Nuet i Pujals,26/10/2015,28/10/2017,El secretari tercer
XI,Ramona Barrufet i Santacana,26/10/2015,28/10/2017,La secretària quarta
XII,Roger Torrent i Ramió,17/01/2018,22/12/2020,El president
XII,Josep Costa i Rosselló,17/01/2018,22/12/2020,El vicepresident primer
XII,José María Espejo Saavedra Conesa,17/01/2018,20/05/2019,El vicepresident segon
XII,Joan García González,29/05/2019,22/12/2020,El vicepresident segon
XII,Eusebi Campdepadrós i Pucurull,17/01/2018,22/12/2020,El secretari primer
XII,David Pérez Ibáñez,17/01/2018,22/12/2020,El secretari segon
XII,Laura Vílchez Sánchez,29/05/2019,22/12/2020,La secretària tercera
XII,Adriana Delgado i Herreros,6/6/2018,26/11/2019,La secretària quarta
XI,Gerard Gómez del Moral i Fuster,26/10/2015,26/10/2015,El secretari de la Mesa d’Edat Gerard Gómez del Moral i Fuster
XI,Joan Giner Miguélez,26/10/2015,26/10/2015,El secretari de la Mesa d’Edat Joan Giner Miguélez
XII,Alba Vergés i Bosch,3/28/2018,3/28/2018,La secretària quarta
XII,Joan García González,5/4/2018,5/4/2018,El secretari tercer
XII,Alba Vergés i Bosch,5/4/2018,5/4/2018,La secretària quarta
XII,Joan García González,5/12/2018,5/12/2018,El secretari tercer
XII,Joaquim Torra i Pla,5/14/2018,5/14/2018,El candidat a la presidència de la Generalitat
XII,Alba Vergés i Bosch,5/14/2018,5/14/2018,La secretària quarta
XII,Ernest Maragall i Mira,6/12/2018,6/12/2018,"El conseller d'Acció Exterior, Relacions Institucionals i Transparència"
XII,Ernest Maragall i Mira,6/12/2018,6/12/2018,"El conseller d’Acció Exterior, Relacions Institucionals i Transparència"
XII,Josep Bargalló i Valls,6/12/2018,6/12/2018,El conseller d’Ensenyament
XII,Pere Aragonès i Garcia,6/12/2018,6/12/2018,El vicepresident del Govern i conseller d’Economia i Hisenda
XII,Maria Àngels Chacón i Feixas,6/12/2018,6/12/2018,La consellera d'Empresa i Coneixement
XII,Josep Bargalló i Valls,7/4/2018,7/4/2018,El conseller d'Ensenyament
XII,Miquel Buch i Moya,7/4/2018,7/4/2018,El conseller d’Interior
XII,Joan García González,7/5/2018,7/5/2018,El secretari tercer
XII,Teresa Jordà i Roura,7/5/2018,7/5/2018,"La consellera d'Agricultura, Ramaderia, Pesca i Alimentació"
XII,Josep Bargalló i Valls,7/17/2018,7/17/2018,El conseller d'Ensenyament
XII,Chakir El Homrani Lesfar,7/17/2018,7/17/2018,"El conseller de Treball, Afers Socials i Famílies"
XII,Maria Àngels Chacón i Feixas,7/17/2018,7/17/2018,La consellera d’Empresa i Coneixement
XII,Joaquim Torra i Pla,10/3/2018,10/3/2018,El president de la Generalitat
XII,Miquel Buch i Moya,10/10/2018,10/10/2018,El conseller d’Interior
XII,Pere Aragonès i Garcia,10/10/2018,10/10/2018,El vicepresident del Govern i conseller d'Economia i Hisenda
XII,Josep Bargalló i Valls,10/24/2018,10/24/2018,El conseller d'Ensenyament
XII,Ernest Maragall i Mira,10/24/2018,10/24/2018,"El conseller d’Acció Exterior, Relacions Institucionals i Transparència"
XII,Pere Aragonès i Garcia,10/24/2018,10/24/2018,El vicepresident del Govern i conseller d'Economia i Hisenda
XII,Maria Àngels Chacón i Feixas,10/24/2018,10/24/2018,La consellera d’Empresa i Coneixement
XII,Ernest Maragall i Mira,10/25/2018,10/25/2018,"El conseller d'Acció Exterior, Relacions Institucionals i Transparència"
XII,Miquel Buch i Moya,10/25/2018,10/25/2018,El conseller d'Interior
XII,Joan García González,10/25/2018,10/25/2018,El vicepresident del Govern i conseller d’Economia i Hisenda
XII,Josep Bargalló i Valls,11/7/2018,11/7/2018,El conseller d'Ensenyament
XII,Chakir El Homrani Lesfar,11/7/2018,11/7/2018,"El conseller de Treball, Afers Socials i Família"
XII,Pere Aragonès i Garcia,11/7/2018,11/7/2018,El vicepresident del Govern i conseller d’Economia i Hisenda
XII,Pere Aragonès i Garcia,11/7/2018,11/7/2018,El vicepresident i conseller d’Economia i Finances
XII,Pere Aragonès i Garcia,11/8/2018,11/8/2018,El vicepresident del Govern
XII,Pere Aragonès i Garcia,11/8/2018,11/8/2018,El vicepresident del Govern i conseller d’Economia i Hisenda
XII,Joaquim Torra i Pla,11/9/2018,11/9/2018,El president de la Generalitat
XII,Ernest Maragall i Mira,11/21/2018,11/21/2018,"El conseller d'Afers Exteriors, Relacions Institucionals i Transparència"
XII,Miquel Buch i Moya,11/21/2018,11/21/2018,El conseller d’Interior
XII,Pere Aragonès i Garcia,11/21/2018,11/21/2018,El vicepresident del Govern i conseller
XII,Pere Aragonès i Garcia,11/21/2018,11/21/2018,El vicepresident del Govern i conseller d’Economia i Hisenda
XII,Pere Aragonès i Garcia,11/22/2018,11/22/2018,El vicepresident del Govern i conseller d’Economia i Hisenda
XII,Miquel Buch i Moya,12/12/2018,12/12/2018,El conseller d’Interior
XII,Maria Àngels Chacón i Feixas,12/12/2018,12/12/2018,La consellera d’Empresa i Coneixement
XII,Roger Torrent Ramió,12/18/2018,12/18/2018,El president.
XII,Pere Aragonès i Garcia,12/18/2018,12/18/2018,El vicepresident del Govern i conseller d’Economia i Hisenda
XII,Pere Aragonès i Garcia,12/19/2018,12/19/2018,El vicepresident
XII,Pere Aragonès i Garcia,12/19/2018,12/19/2018,El vicepresident del Govern
XII,Pere Aragonès i Garcia,12/19/2018,12/19/2018,El vicepresident del Govern i conseller d’Economia i Hisenda
XII,Miquel Buch i Moya,1/23/2019,1/23/2019,El conseller d'Interior
XII,Alfred Bosch i Pascual,1/23/2019,1/23/2019,"El conseller d’Acció Exterior, Relacions Institucionals i Transparència"
XII,Josep Bargalló i Valls,1/23/2019,1/23/2019,El conseller d’Educació
XII,Pere Aragonès i Garcia,1/23/2019,1/23/2019,El vicepresident
XII,Pere Aragonès i Garcia,1/23/2019,1/23/2019,El vicepresident del Govern i conseller d’Economia i Hisenda
XII,Miquel Buch i Moya,1/24/2019,1/24/2019,El conseller d’Interior
XII,Joan García González,1/24/2019,1/24/2019,El secretari tercer
XII,Pere Aragonès i Garcia,1/24/2019,1/24/2019,El vicepresident del Govern i conseller d’Economia i Finances
XII,Maria Àngels Chacón i Feixas,1/24/2019,1/24/2019,La consellera d'Empresa i Coneixement
XII,Miquel Buch i Moya,2/6/2019,2/6/2019,El conseller d’Interior
XII,Maria Àngels Chacón i Feixas,2/6/2019,2/6/2019,La consellera d'Empresa i Coneixement
XII,Joan García González,2/7/2019,2/7/2019,El secretari tercer
XII,Pere Aragonès i Garcia,2/7/2019,2/7/2019,El vicepresident
XII,Pere Aragonès i Garcia,2/27/2019,2/27/2019,El vicepresident del Govern i conseller d’Economia i Hisenda
XII,Josep Bargalló i Valls,2/28/2019,2/28/2019,El conseller d'Educació
XII,Elsa Artadi i Vila,2/28/2019,2/28/2019,La consellera de Presidència
XII,Josep Bargalló i Valls,3/6/2019,3/6/2019,El conseller d'Educació
XII,Maria Àngels Chacón i Feixas,3/6/2019,3/6/2019,La consellera d'Empresa i Coneixement
XII,Alfred Bosch i Pascual,3/7/2019,3/7/2019,"El conseller d'Acció Exterior, Relacions Institucionals i Transparència"
XII,Alfred Bosch i Pascual,3/20/2019,3/20/2019,"El conseller d'Acció Exterior, Relacions Institucionals i Transparència"
XII,Chakir El Homrani Lesfar,3/20/2019,3/20/2019,"El conseller de Treball, Afers socials i Famílies"
XII,,4/3/2019,4/3/2019,El director de l’Oficina Antifrau de Catalunya
XII,Pere Aragonès i Garcia,4/3/2019,4/3/2019,El vicepresident del Govern i conseller d’Economia i Hisenda
XII,Joan García González,4/4/2019,4/4/2019,El secretari tercer
XII,Pere Aragonès i Garcia,4/4/2019,4/4/2019,El vicepresident
XII,Pere Aragonès i Garcia,4/4/2019,4/4/2019,El vicepresident del Govern i conseller d'Economia i Hisenda
XII,Maria Àngels Chacón i Feixas,4/4/2019,4/4/2019,M. Àngels Chacón i Feixas
XII,Maria Àngels Chacón i Feixas,4/10/2019,4/10/2019,La consellera d’Empresa i Coneixement
XII,Pere Aragonès i Garcia,4/11/2019,4/11/2019,El vicepresident
XII,Joan García González,5/8/2019,5/8/2019,El secretari tercer
XII,Maria Àngels Chacón i Feixas,5/29/2019,5/29/2019,La consellera d’Empresa i Coneixement
XII,Josep Bargalló i Valls,5/30/2019,5/30/2019,El conseller d’Educació
XII,Josep Bargalló i Valls,6/13/2019,6/13/2019,El conseller d'Educació
XII,Roger Torrent Ramió,6/13/2019,6/13/2019,El president.
XII,Maria Àngels Chacón i Feixas,6/13/2019,6/13/2019,La consellera d'Empresa i Coneixement
XII,Maria Àngels Chacón i Feixas,6/13/2019,6/13/2019,La consellera d’Economia i Coneixement
XII,Josep Bargalló i Valls,6/26/2019,6/26/2019,El conseller d’Educació
XII,Pere Aragonès i Garcia,6/26/2019,6/26/2019,El vicepresident del Govern i conseller d’Economia i Hisenda
XII,Miquel Buch i Moya,7/10/2019,7/10/2019,El conseller d’Interior
XII,Teresa Jordà i Roura,7/10/2019,7/10/2019,"La consellera d'Agricultura, Ramaderia, Pesca i Alimentació"
XII,Alfred Bosch i Pascual,7/11/2019,7/11/2019,"El conseller d’Acció Exterior, Relacions Institucionals i Transparència"
XII,Joan García González,7/11/2019,7/11/2019,El vicepresident segons
XII,Alfred Bosch i Pascual,7/23/2019,7/23/2019,"El conseller d'Acció Exterior, Relacions Institucionals i Transparència"
XII,Jordi Puigneró i Ferrer,7/23/2019,7/23/2019,El conseller de Polítiques Digitals i Administració Pública
XII,Josep Bargalló i Valls,7/23/2019,7/23/2019,El conseller d’Educació
XII,Teresa Jordà i Roura,7/24/2019,7/24/2019,"La consellera d’Agricultura, Ramaderia, Pesca i Alimentació"
XII,Pere Aragonès i Garcia,10/9/2019,10/9/2019,El vicepresident del Govern i conseller d'Economia i Hisenda
XII,Pere Aragonès i Garcia,10/23/2019,10/23/2019,El vicepresident
XII,Maria Àngels Chacón i Feixas,10/23/2019,10/23/2019,La consellera d'Empresa i Coneixement
XII,Pere Aragonès i Garcia,10/24/2019,10/24/2019,El vicepresident
XII,Chakir El Homrani Lesfar,11/12/2019,11/12/2019,"El conseller de Treball, Afers Socials i Famílies"
XII,Meritxell Budó i Pla,11/13/2019,11/13/2019,La consellera de Presidència
XII,Damià Calvet i Valera,11/27/2019,11/27/2019,El conseller de Territori i Sostenibilitat
XII,Pere Aragonès i Garcia,11/27/2019,11/27/2019,El vicepresident de la Generalitat
XII,Pere Aragonès i Garcia,11/27/2019,11/27/2019,El vicepresident del Govern i conseller d'Economia i Hisenda
XII,Joaquim Torra i Pla,12/11/2019,12/11/2019,El president de la Generalitat
XII,Pere Aragonès i Garcia,12/11/2019,12/11/2019,El vicepresident del Govern i conseller d’Economia i Finances
XII,Miquel Buch i Moya,12/18/2019,12/18/2019,El conseller d’Interior
XII,Pere Aragonès i Garcia,12/18/2019,12/18/2019,El vicepresident del Govern i conseller d'Economia i Hisenda
XII,Pere Aragonès i Garcia,12/18/2019,12/18/2019,El vicepresident del Govern i conseller d’Economia i Finances
XII,Miquel Buch i Moya,2/5/2020,2/5/2020,El conseller d'Interior
XII,Alfred Bosch i Pascual,2/7/2020,2/7/2020,"El conseller d’Acció Exterior, Relacions Institucionals i Transparència"
XII,Rut Ribas i Martí,2/7/2020,2/7/2020,La secretària quarta
XII,Teresa Jordà i Roura,2/11/2020,2/11/2020,"La consellera d'Agricultura, Ramaderia, Pesca i Alimentació"
XII,Miquel Buch i Moya,2/12/2020,2/12/2020,El conseller d'Interior
XII,Josep Bargalló i Valls,2/12/2020,2/12/2020,El conseller d’Educació
XII,Pere Aragonès i Garcia,2/12/2020,2/12/2020,El vicepresident del Govern i conseller d'Economia i Hisenda
XII,Alfred Bosch i Pascual,2/13/2020,2/13/2020,"El conseller d’Acció Exterior, Relacions Institucionals i Transparència"
XII,Teresa Jordà i Roura,2/13/2020,2/13/2020,"La consellera d'Agricultura, Ramaderia, Pesca i Alimentació"
XII,,3/4/2020,3/4/2020,
XII,Miquel Buch i Moya,3/4/2020,3/4/2020,El conseller d’Interior
XII,Joaquim Torra i Pla,3/4/2020,3/4/2020,El president de la Generalitat
XII,Roger Torrent Ramió,3/4/2020,3/4/2020,"El president,"
XII,Miquel Buch i Moya,3/5/2020,3/5/2020,El conseller d'Interior
XII,Alfred Bosch i Pascual,3/5/2020,3/5/2020,"El conseller d’Acció Exterior, Relacions Institucionals i Transparència"
XII,Rut Ribas i Martí,3/5/2020,3/5/2020,La secretària quarta
XII,Josep Bargalló i Valls,5/21/2020,5/21/2020,El conseller d'Educació
XII,Pere Aragonès i Garcia,5/21/2020,5/21/2020,El vicepresident
XII,Pere Aragonès i Garcia,5/21/2020,5/21/2020,El vicepresident del Govern i conseller d’Economia i Hisenda
XII,Josep Bargalló i Valls,6/4/2020,6/4/2020,El conseller d'Educació
XII,Pere Aragonès i Garcia,6/4/2020,6/4/2020,El vicepresident del Govern i conseller d'Economia i Hisenda
XII,Pere Aragonès i Garcia,6/4/2020,6/4/2020,El vicepresident del Govern i conseller d’Economia i Hisenda
XII,Meritxell Budó i Pla,6/4/2020,6/4/2020,La consellera de la Presidència
XII,Miquel Buch i Moya,6/17/2020,6/17/2020,El conseller d’Interior
XII,Roger Torrent Ramió,6/17/2020,6/17/2020,El president del Parlament
XII,Maria Àngels Chacón i Feixas,6/17/2020,6/17/2020,M. Àngels Chacón i Feixas
XII,Rut Ribas i Martí,7/3/2020,7/3/2020,La secretària quarta
XII,Pere Aragonès i Garcia,7/8/2020,7/8/2020,El vicepresident del Govern i conseller d’Economia i Hisenda
XII,Roger Torrent Ramió,7/21/2020,7/21/2020,El president del Parlament
XII,Bernat Solé i Barril,7/22/2020,7/22/2020,"El conseller d’Acció Exterior, Relacions Institucionals i Transparència"
XII,Pere Aragonès i Garcia,7/22/2020,7/22/2020,El vicepresident del Govern i conseller d'Economia i Hisenda
XII,Rut Ribas i Martí,7/22/2020,7/22/2020,La secretària quarta
XII,Josep Bargalló i Valls,9/9/2020,9/9/2020,El conseller d'Educació
XII,Ramon Tremosa i Balcells,9/9/2020,9/9/2020,El conseller d’Empresa i Coneixement
XII,Joaquim Torra i Pla,9/9/2020,9/9/2020,El president de la Generalitat.
XII,Joaquim Torra i Pla,9/30/2020,9/30/2020,expresident de la Generalitat
XII,Josep Bargalló i Valls,10/7/2020,10/7/2020,El conseller d’Educació
XII,Miquel Sàmper i Rodríguez,10/7/2020,10/7/2020,El conseller d’Interior
XII,Pere Aragonès i Garcia,10/7/2020,10/7/2020,El vicepresident del Govern i conseller d’Economia i Hisenda
XII,Ramon Tremosa i Balcells,10/8/2020,10/8/2020,El conseller d'Empresa i Coneixement
XII,Miquel Sàmper i Rodríguez,10/8/2020,10/8/2020,El conseller d’Interior
XII,Ramon Tremosa i Balcells,10/21/2020,10/21/2020,El conseller d'Empresa i Coneixement
XII,Josep Bargalló i Valls,10/21/2020,10/21/2020,El conseller d’Educació
XII,Pere Aragonès i Garcia,10/21/2020,10/21/2020,El vicepresident del Govern i conseller d’Economia i Hisenda
XII,Ramon Tremosa i Balcells,10/22/2020,10/22/2020,El conseller d’Empresa i Coneixement
XII,Pere Aragonès i Garcia,10/22/2020,10/22/2020,El vicepresident
XII,Pere Aragonès i Garcia,11/4/2020,11/4/2020,El vicepresident
XII,Pere Aragonès i Garcia,11/4/2020,11/4/2020,El vicepresident del Govern i conseller d’Economia i Hisenda
XII,Pere Aragonès i Garcia,11/5/2020,11/5/2020,El vicepresident del Govern i conseller d'Economia i Hisenda
XII,Bernat Solé i Barril,11/18/2020,11/18/2020,"El conseller d'Acció Exterior, Relacions Institucionals i Transparència"
XII,Josep Bargalló i Valls,11/18/2020,11/18/2020,El conseller d'Educació
XII,Ramon Tremosa i Balcells,11/18/2020,11/18/2020,El conseller d'Empresa i Coneixement
XII,Miquel Sàmper i Rodríguez,11/18/2020,11/18/2020,El conseller d'Interior
XII,Damià Calvet i Valera,11/18/2020,11/18/2020,El conseller de Territori i Sostenibilitat
XII,Pere Aragonès i Garcia,11/18/2020,11/18/2020,El vicepresident
XII,Pere Aragonès i Garcia,11/18/2020,11/18/2020,El vicepresident del Govern i conseller d'Economia i Hisenda
XII,Ramon Tremosa i Balcells,11/19/2020,11/19/2020,El conseller d’Empresa i Coneixement
XII,Ramon Tremosa i Balcells,12/2/2020,12/2/2020,El conseller d'Empresa i Coneixement
XII,Miquel Sàmper i Rodríguez,12/2/2020,12/2/2020,El conseller d'Interior
XII,Pere Aragonès i Garcia,12/2/2020,12/2/2020,El vicepresident de la Generalitat i conseller d’Economia i Hisenda
XII,Pere Aragonès i Garcia,12/2/2020,12/2/2020,El vicepresident del Govern i conseller d’Economia i Hisenda
XII,Josep Bargalló i Valls,12/3/2020,12/3/2020,El conseller d’Educació
XII,Teresa Jordà i Roura,12/3/2020,12/3/2020,"La consellera d'Agricultura, Ramaderia, Pesca i Alimentació"
XII,Miquel Sàmper i Rodríguez,12/16/2020,12/16/2020,El conseller d’Interior
XII,Roger Torrent Ramió,12/16/2020,12/16/2020,El president.
XII,Pere Aragonès i Garcia,12/16/2020,12/16/2020,El vicepresident del Govern i conseller d'Economia i Hisenda
XII,Rut Ribas i Martí,12/16/2020,12/16/2020,La secretària quarta